track_number,track_name,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,album_name,album_release_year
1,!!!!!!!,0,27.800000000000004,0,-21.63,66.9,0,13.578,76.8,0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
2,bad guy,135.128,42.5,70.1,-10.965,10,56.2,194.087,32.800000000000004,37.5,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
3,xanny,111.554,12.5,52.1,-17.832,26.5,5.28,243.725,75.1,23.9,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
4,you should see me in a crown,150.455,53.300000000000004,67.80000000000001,-10.485,13.900000000000002,32.300000000000004,180.952,46.2,18.6,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
5,all the good girls go to hell,185.044,44.4,72.6,-8.922,17.7,56.89999999999999,168.839,28.299999999999997,37.2,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
6,wish you were gay,118.028,35.099999999999994,85.3,-10.198,75.2,28.199999999999996,221.543,39,24.099999999999998,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
7,when the party's over,82.642,11.1,36.7,-14.084,8.97,19.8,196.077,97.8,9.719999999999999,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
8,8,62.446,23.5,73.5,-13.239,10.7,46.2,173.201,69.8,31.5,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
9,my strange addiction,100.029,30.5,93.89999999999999,-10.952,10.5,56.3,179.889,35,35.4,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
10,bury a friend,120.046,38.9,90.5,-14.505,10.6,19.6,193.143,74,33.2,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
11,ilomilo,120.02,42.3,85.5,-15.044,8.959999999999999,57.199999999999996,156.37,72.39999999999999,5.8500000000000005,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
12,listen before i go,79.764,5.609999999999999,31.900000000000002,-23.023,38.800000000000004,8.200000000000001,242.652,93.5,4.5,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
13,i love you,137.446,13.100000000000001,42.1,-18.435,10.9,12,291.796,95.19999999999999,3.82,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
14,goodbye,74.318,13.8,15.299999999999999,-21.877,25.4,5.029999999999999,119.409,83.7,5.029999999999999,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
